 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000            3000              -1          1.5528;
     1    0.044            3000             555          0.4731;
     2    0.089            3000            1371          0.3687;
     3    0.133            3000            1866          0.6493;
     4    0.177            3000            2030          0.8849;
     5    0.221            3000            2051          0.9640;
     6    0.266            3000            2034          0.9634;
     7    0.310            3000            2033          0.9582;
     8    0.354            3000            2030          0.9692;
     9    0.398            3000            2033          0.9567;
    10    0.443            3000            2027          0.9585;
    11    0.487            3000            2028          0.9582;
    12    0.531            3000            2027          0.9585;
    13    0.576            3000            2030          0.9521;
    14    0.620            3000            2026          0.9621;
    15    0.664            3000            2028          0.9545;
    16    0.708            3000            2027          0.9585;
    17    0.753            3000            2027          0.9585;
    18    0.797            3000            2027          0.9585;
    19    0.841            3000            2027          0.9585;
    20    0.885            3000            2027          0.9585;
    21    0.930            3000            2027          0.9585;
    22    0.974            3000            2028          0.9576;
    23    1.018            3000            2027          0.9466;
    24    1.063            3000            2027          0.9585;
    25    1.107            3000            2027          0.9585;
    26    1.151            3000            2027          0.9585;
    27    1.195            3000            2027          0.9585;
    28    1.240            3000            2027          0.9585;
    29    1.284            3000            2027          0.9585;
    30    1.328            3000            2027          0.9585;
    31    1.372            3000            2027          0.9585;
    32    1.417            3000            2027          0.9585;
    33    1.461            3000            2027          0.9585;
    34    1.505               0            2027         -0.5940;
    35    1.549               0            1424          0.5681;
    36    1.594               0             588          0.6212;
    37    1.638               0              97          0.3257;
    38    1.682               0             -58          0.0632;
    39    1.727               0             -45         -0.0574;
    40    1.771               0              13         -0.0336;
    41    1.815               0              18          0.0027;
    42    1.859               0               5          0.0052;
    43    1.904               0              -6          0.0092;
    44    1.948               0               2         -0.0082;
    45    1.992               0              -2          0.0061;
    46    2.036               0              -0         -0.0055;
    47    2.081               0              -3          0.0137;
    48    2.125               0               0         -0.0134;
    49    2.169               0              -2          0.0073;
    50    2.214               0              -1         -0.0165;
    51    2.258               0              -1          0.0000;
    52    2.302               0              -1         -0.0079;
    53    2.346               0              -1          0.0061;
    54    2.391               0              -3          0.0006;
    55    2.435               0              -1          0.0000;
    56    2.479               0              -4          0.0009;
    57    2.523               0               0          0.0128;
    58    2.568               0              -3          0.0006;
    59    2.612               0              -1          0.0000;
    60    2.656               0              -2          0.0003;
    61    2.701               0               0         -0.0037;
    62    2.745               0              -2          0.0034;
    63    2.789               0              -1          0.0000;
    64    2.833               0              -2          0.0003;
    65    2.878               0              -1          0.0000;
    66    2.922               0              -2          0.0003;
    67    2.966               0              -2          0.0003;
    68    3.010           -3000              -8         -1.4704;
    69    3.055           -3000            -607         -0.5027;
    70    3.099           -3000           -1360         -0.4408;
    71    3.143           -3000           -1800         -0.7088;
    72    3.188           -3000           -1937         -0.9292;
    73    3.232           -3000           -1945         -1.0076;
    74    3.276           -3000           -1923         -1.0021;
    75    3.320           -3000           -1916         -0.9957;
    76    3.365           -3000           -1909         -1.0037;
    77    3.409           -3000           -1911         -0.9872;
    78    3.453           -3000           -1903         -0.9951;
    79    3.497           -3000           -1906         -0.9945;
    80    3.542           -3000           -1903         -0.9973;
    81    3.586           -3000           -1906         -0.9860;
    82    3.630           -3000           -1902         -1.0009;
    83    3.674           -3000           -1904         -0.9951;
    84    3.719           -3000           -1902         -1.0119;
    85    3.763           -3000           -1903         -0.9890;
    86    3.807           -3000           -1902         -1.0037;
    87    3.852           -3000           -1902         -0.9954;
    88    3.896           -3000           -1902         -0.9954;
    89    3.940           -3000           -1902         -0.9878;
    90    3.984           -3000           -1903         -0.9951;
    91    4.029           -3000           -1902         -0.9795;
    92    4.073           -3000           -1903         -0.9930;
    93    4.117           -3000           -1902         -0.9954;
    94    4.161           -3000           -1903         -0.9951;
    95    4.206           -3000           -1902         -0.9954;
    96    4.250           -3000           -1903         -0.9841;
    97    4.294           -3000           -1902         -0.9954;
    98    4.339           -3000           -1903         -0.9951;
    99    4.383           -3000           -1902         -0.9954;
   100    4.427           -3000           -1902         -0.9954;
   101    4.471           -3000           -1902         -0.9954;
   102    4.516               0           -1870          0.2619;
   103    4.560               0           -1150         -0.6429;
   104    4.604               0            -358         -0.6169;
   105    4.648               0              63         -0.2860;
   106    4.693               0             144         -0.0501;
   107    4.737               0              97          0.0543;
   108    4.781               0              29          0.0559;
   109    4.826               0               2          0.0067;
   110    4.870               0               2         -0.0174;
   111    4.914               0              17         -0.0189;
   112    4.958               0              16         -0.0049;
   113    5.003               0              19         -0.0058;
   114    5.047               0              15          0.0085;
   115    5.091               0              19         -0.0092;
   116    5.135               0              14          0.0061;
   117    5.180               0              16         -0.0049;
   118    5.224               0              15          0.0113;
   119    5.268               0              17         -0.0119;
   120    5.313               0              16          0.0043;
   121    5.357               0              16         -0.0137;
   122    5.401               0              16         -0.0049;
   123    5.445               0              15         -0.0043;
   124    5.490               0              18         -0.0055;
   125    5.534               0              15         -0.0046;
   126    5.578               0              16          0.0104;
   127    5.622               0              15         -0.0024;
   128    5.667               0              18         -0.0082;
   129    5.711               0              14          0.0000;
   130    5.755               0              16         -0.0049;
   131    5.799               0              15         -0.0046;
   132    5.844               0              17         -0.0070;
   133    5.888               0              15         -0.0015;
   134    5.932               0              17         -0.0113;
   135    5.977               0              16         -0.0049;
   136    6.021               0              16         -0.0049;
   137    6.065               0              16         -0.0049;
   138    6.109               0              16         -0.0049;
   139    6.154               0              16         -0.0049;
   140    6.198               0              16         -0.0049;
   141    6.242               0              16         -0.0049;
   142    6.286               0              16         -0.0214;
   143    6.331               0              16         -0.0049;
   144    6.375               0              15         -0.0046;
   145    6.419               0              16         -0.0049;
   146    6.464               0              15         -0.0046;
   147    6.508               0              16         -0.0049;
   148    6.552               0              16         -0.0049;
   149    6.596               0              16         -0.0049;
   150    6.641               0              16         -0.0049;
   151    6.685               0              16         -0.0049;
   152    6.729               0              16         -0.0049;
   153    6.773               0              16         -0.0049;
   154    6.818               0              16         -0.0049;
   155    6.862               0              16         -0.0049;
   156    6.906               0              16         -0.0049;
   157    6.951               0              16         -0.0049;
   158    6.995               0              16         -0.0049;
   159    7.039               0              16         -0.0049;
   160    7.083               0              16         -0.0049;
   161    7.128               0              16         -0.0049;
   162    7.172               0              16         -0.0049;
   163    7.216               0              16         -0.0049;
   164    7.260               0              16         -0.0049;
   165    7.305               0              16         -0.0049;
   166    7.349               0              16         -0.0049;
   167    7.393               0              16         -0.0049;
   168    7.438               0              16         -0.0049;
   169    7.482               0              16         -0.0049;
   170    7.526               0              16         -0.0049;
   171    7.570               0              16         -0.0049;
   172    7.615               0              16         -0.0049;
   173    7.659               0              16         -0.0049;
   174    7.703               0              16         -0.0049;
   175    7.747               0              16         -0.0049;
   176    7.792               0              16         -0.0049;
   177    7.836               0              16         -0.0049;
   178    7.880               0              16         -0.0049;
   179    7.924               0              16         -0.0049;
   180    7.969               0              16         -0.0049;
   181    8.013               0              16         -0.0049;
   182    8.057               0              16         -0.0049;
   183    8.102               0              16         -0.0049;
   184    8.146               0              16         -0.0049;
   185    8.190               0              16         -0.0049;
   186    8.234               0              16         -0.0049;
   187    8.279               0              16         -0.0049;
   188    8.323               0              16         -0.0049;
   189    8.367               0              16         -0.0049;
   190    8.411               0              16         -0.0049;
   191    8.456               0              16         -0.0049;
   192    8.500               0              16         -0.0049;
   193    8.544               0              16         -0.0049;
   194    8.589               0              16         -0.0049;
   195    8.633               0              16         -0.0049;
   196    8.677               0              16         -0.0049;
   197    8.721               0              16         -0.0049;
   198    8.766               0              16         -0.0049;
   199    8.810               0              16         -0.0049;
   200    8.854               0              16         -0.0049;
   201    8.898               0              16         -0.0049;
   202    8.943               0              16         -0.0049;
   203    8.987               0              16         -0.0049;
   204    9.031               0              16         -0.0049;
   205    9.076               0              16         -0.0049;
   206    9.120               0              16         -0.0049;
   207    9.164               0              16         -0.0049;
   208    9.208               0              16         -0.0049;
   209    9.253               0              16         -0.0049;
   210    9.297               0              16         -0.0049;
   211    9.341               0              16         -0.0049;
   212    9.385               0              16         -0.0049;
   213    9.430               0              16         -0.0049;
   214    9.474               0              16         -0.0049;
   215    9.518               0              16         -0.0049;
   216    9.563               0              16         -0.0049;
   217    9.607               0              16         -0.0049;
   218    9.651               0              16         -0.0049;
   219    9.695               0              16         -0.0049;
   220    9.740               0              16         -0.0049;
   221    9.784               0              16         -0.0049;
   222    9.828               0              16         -0.0049;
   223    9.872               0              16         -0.0049;
   224    9.917               0              16         -0.0049;
   225    9.961               0              16         -0.0049;
   226   10.005               0              16         -0.0049;
   227   10.049               0              16         -0.0049;
   228   10.094               0              16         -0.0049;
   229   10.138               0              16         -0.0049;
   230   10.182               0              16         -0.0049;
   231   10.227               0              16         -0.0049;
   232   10.271               0              16         -0.0049;
   233   10.315               0              16         -0.0049;
   234   10.359               0              16         -0.0049;
   235   10.404               0              16         -0.0049;
   236   10.448               0              16         -0.0049;
   237   10.492               0              16         -0.0049;
   238   10.536               0              16         -0.0049;
   239   10.581               0              16         -0.0049;
   240   10.625               0              16         -0.0049;
   241   10.669               0              16         -0.0049;
   242   10.714               0              16         -0.0049;
   243   10.758               0              16         -0.0049;
   244   10.802               0              16         -0.0049;
   245   10.846               0              16         -0.0049;
   246   10.891               0              16         -0.0049;
   247   10.935               0              16         -0.0049]
