 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000            3000               0          0.0000;
     1    0.044            3000            1693          1.1349;
     2    0.089            3000            3819         -2.3178;
     3    0.133            3000            3415          0.5870;
     4    0.177            3000            2753          1.5488;
     5    0.221            3000            2983          0.3547;
     6    0.266            3000            3105          0.4631;
     7    0.310            3000            3036          0.6364;
     8    0.354            3000            3031          0.5867;
     9    0.398            3000            3042          0.5366;
    10    0.443            3000            3043          0.6297;
    11    0.487            3000            3036          0.5620;
    12    0.531            3000            3050          0.5531;
    13    0.576            3000            3031          0.6129;
    14    0.620            3000            3055          0.5324;
    15    0.664            3000            3032          0.6020;
    16    0.708            3000            3049          0.5507;
    17    0.753            3000            3036          0.6041;
    18    0.797            3000            3052          0.5256;
    19    0.841            3000            3035          0.6108;
    20    0.885            3000            3045          0.5562;
    21    0.930            3000            3042          0.5846;
    22    0.974            3000            3043          0.5589;
    23    1.018            3000            3043          0.5855;
    24    1.063            3000            3041          0.5665;
    25    1.107            3000            3045          0.5672;
    26    1.151            3000            3039          0.5833;
    27    1.195            3000            3047          0.5794;
    28    1.240            3000            3039          0.5833;
    29    1.284            3000            3045          0.5672;
    30    1.328            3000            3040          0.5846;
    31    1.372            3000            3046          0.5604;
    32    1.417            3000            3040          0.5849;
    33    1.461            3000            3044          0.5641;
    34    1.505               0            3027         -4.8840;
    35    1.549               0             778          1.0427;
    36    1.594               0            -944          2.8614;
    37    1.638               0            -263         -0.3864;
    38    1.682               0             346         -1.0140;
    39    1.727               0              37          0.3022;
    40    1.771               0             -68          0.1377;
    41    1.815               0               4         -0.1074;
    42    1.859               0              44         -0.1065;
    43    1.904               0               6          0.0470;
    44    1.948               0              16         -0.0989;
    45    1.992               0              24         -0.0269;
    46    2.036               0              19         -0.0412;
    47    2.081               0              34         -0.0601;
    48    2.125               0               2          0.0009;
    49    2.169               0              31         -0.0629;
    50    2.214               0              19         -0.0614;
    51    2.258               0              34         -0.0910;
    52    2.302               0               6          0.0137;
    53    2.346               0              32         -0.0958;
    54    2.391               0              20         -0.0449;
    55    2.435               0              28         -0.0833;
    56    2.479               0              19         -0.0253;
    57    2.523               0              28         -0.0885;
    58    2.568               0              22         -0.0394;
