 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            3000               0;
     1    0.044            3000             210;
     2    0.089            3000             608;
     3    0.133            3000             932;
     4    0.177            3000            1133;
     5    0.221            3000            1249;
     6    0.266            3000            1317;
     7    0.310            3000            1330;
     8    0.354            3000            1328;
     9    0.398            3000            1329;
    10    0.443            3000            1326;
    11    0.487            3000            1326;
    12    0.531            3000            1326;
    13    0.576            3000            1326;
    14    0.620            3000            1327;
    15    0.664            3000            1327;
    16    0.708            3000            1327;
    17    0.753            3000            1327;
    18    0.797            3000            1327;
    19    0.841            3000            1327;
    20    0.885            3000            1327;
    21    0.930            3000            1327;
    22    0.974            3000            1327;
    23    1.018            3000            1327;
    24    1.063            3000            1327;
    25    1.107            3000            1327;
    26    1.151            3000            1327;
    27    1.195            3000            1327;
    28    1.240            3000            1327;
    29    1.284            3000            1327;
    30    1.328            3000            1327;
    31    1.372            3000            1327;
    32    1.417            3000            1327;
    33    1.461            3000            1327;
    34    1.505               0            1327;
    35    1.549               0            1070;
    36    1.594               0             685;
    37    1.638               0             392;
    38    1.682               0             215;
    39    1.727               0             127;
    40    1.771               0              94;
    41    1.815               0              77;
    42    1.859               0              68;
    43    1.904               0              59;
    44    1.948               0              55;
    45    1.992               0              46;
    46    2.036               0              42;
    47    2.081               0              39;
    48    2.125               0              35;
    49    2.169               0              33;
    50    2.214               0              33;
    51    2.258               0              33;
    52    2.302               0              32;
    53    2.346               0              32;
    54    2.391               0              31;
    55    2.435               0              31;
    56    2.479               0              31;
    57    2.523               0              31;
    58    2.568               0              31;
    59    2.612               0              31;
    60    2.656               0              30;
    61    2.701               0              30;
    62    2.745               0              30;
    63    2.789               0              30;
    64    2.833               0              30;
    65    2.878               0              30;
    66    2.922               0              30;
    67    2.966               0              30;
    68    3.010           -3000              27;
    69    3.055           -3000            -236;
    70    3.099           -3000            -593;
    71    3.143           -3000            -855;
    72    3.188           -3000           -1002;
    73    3.232           -3000           -1088;
    74    3.276           -3000           -1113;
    75    3.320           -3000           -1118;
    76    3.365           -3000           -1118;
    77    3.409           -3000           -1121;
    78    3.453           -3000           -1121;
    79    3.497           -3000           -1121;
    80    3.542           -3000           -1120;
    81    3.586           -3000           -1121;
    82    3.630           -3000           -1121;
    83    3.674           -3000           -1122;
    84    3.719           -3000           -1123;
    85    3.763           -3000           -1123;
    86    3.807           -3000           -1123;
    87    3.852           -3000           -1123;
    88    3.896           -3000           -1123;
