 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            3000               6;
     1    0.044            3000             238;
     2    0.089            3000             682;
     3    0.133            3000            1127;
     4    0.177            3000            1509;
     5    0.221            3000            1834;
     6    0.266            3000            2101;
     7    0.310            3000            2321;
     8    0.354            3000            2501;
     9    0.398            3000            2646;
    10    0.443            3000            2759;
    11    0.487            3000            2851;
    12    0.531            3000            2920;
    13    0.576            3000            2968;
    14    0.620            3000            3005;
    15    0.664            3000            3036;
    16    0.708            3000            3068;
    17    0.753            3000            3087;
    18    0.797            3000            3097;
    19    0.841            3000            3098;
    20    0.885            3000            3099;
    21    0.930            3000            3099;
    22    0.974            3000            3100;
    23    1.018            3000            3100;
    24    1.063            3000            3101;
    25    1.107            3000            3101;
    26    1.151            3000            3101;
    27    1.195            3000            3101;
    28    1.240            3000            3101;
    29    1.284            3000            3102;
    30    1.328            3000            3102;
    31    1.372            3000            3102;
    32    1.417            3000            3102;
    33    1.461            3000            3102;
    34    1.505               0            3102;
    35    1.549               0            2838;
    36    1.594               0            2423;
    37    1.638               0            2037;
    38    1.682               0            1717;
    39    1.727               0            1451;
    40    1.771               0            1236;
    41    1.815               0            1058;
    42    1.859               0             913;
    43    1.904               0             785;
    44    1.948               0             692;
    45    1.992               0             601;
    46    2.036               0             526;
    47    2.081               0             467;
    48    2.125               0             442;
    49    2.169               0             427;
    50    2.214               0             411;
    51    2.258               0             395;
    52    2.302               0             378;
    53    2.346               0             364;
    54    2.391               0             351;
    55    2.435               0             343;
    56    2.479               0             336;
    57    2.523               0             335;
    58    2.568               0             333;
    59    2.612               0             333;
    60    2.656               0             332;
    61    2.701               0             331;
    62    2.745               0             330;
    63    2.789               0             330;
    64    2.833               0             329;
    65    2.878               0             329;
    66    2.922               0             329;
    67    2.966               0             328;
    68    3.010           -3000             319;
    69    3.055           -3000              -5;
    70    3.099           -3000            -471;
    71    3.143           -3000            -903;
    72    3.188           -3000           -1253;
    73    3.232           -3000           -1541;
    74    3.276           -3000           -1780;
    75    3.320           -3000           -1979;
    76    3.365           -3000           -2140;
    77    3.409           -3000           -2279;
    78    3.453           -3000           -2389;
    79    3.497           -3000           -2485;
    80    3.542           -3000           -2562;
    81    3.586           -3000           -2625;
    82    3.630           -3000           -2673;
    83    3.674           -3000           -2712;
    84    3.719           -3000           -2753;
    85    3.763           -3000           -2785;
    86    3.807           -3000           -2812;
    87    3.852           -3000           -2823;
    88    3.896           -3000           -2828;
    89    3.940           -3000           -2830;
    90    3.984           -3000           -2833;
    91    4.029           -3000           -2833;
    92    4.073           -3000           -2835;
    93    4.117           -3000           -2836;
    94    4.161           -3000           -2836;
    95    4.206           -3000           -2838;
    96    4.250           -3000           -2838;
    97    4.294           -3000           -2839;
    98    4.339           -3000           -2840;
    99    4.383           -3000           -2840;
   100    4.427           -3000           -2841;
   101    4.471           -3000           -2841;
   102    4.516               0           -2833;
   103    4.560               0           -2534;
   104    4.604               0           -2107;
   105    4.648               0           -1706;
   106    4.693               0           -1367;
   107    4.737               0           -1079;
   108    4.781               0            -845;
   109    4.826               0            -656;
   110    4.870               0            -508;
   111    4.914               0            -393;
   112    4.958               0            -309;
   113    5.003               0            -235;
   114    5.047               0            -182;
   115    5.091               0            -144;
   116    5.135               0            -124;
   117    5.180               0            -123;
   118    5.224               0            -126;
   119    5.268               0            -126;
   120    5.313               0            -126;
   121    5.357               0            -125;
   122    5.401               0            -125;
   123    5.445               0            -125;
   124    5.490               0            -125;
   125    5.534               0            -126;
   126    5.578               0            -125;
   127    5.622               0            -125;
   128    5.667               0            -125;
   129    5.711               0            -126;
   130    5.755               0            -125;
   131    5.799               0            -125;
   132    5.844               0            -125;
   133    5.888               0            -125;
   134    5.932               0            -125;
   135    5.977               0            -125;
   136    6.021               0            -125;
   137    6.065               0            -125;
   138    6.109               0            -125;
   139    6.154               0            -125;
   140    6.198               0            -125;
   141    6.242               0            -125;
   142    6.286               0            -125;
   143    6.331               0            -125;
   144    6.375               0            -125;
   145    6.419               0            -125;
   146    6.464               0            -125;
   147    6.508               0            -125;
   148    6.552               0            -125;
   149    6.596               0            -125;
   150    6.641               0            -125;
   151    6.685               0            -125;
   152    6.729               0            -125;
   153    6.773               0            -125;
   154    6.818               0            -125;
   155    6.862               0            -125;
   156    6.906               0            -125;
   157    6.951               0            -125;
   158    6.995               0            -125;
   159    7.039               0            -125;
   160    7.083               0            -125;
   161    7.128               0            -125;
   162    7.172               0            -125;
   163    7.216               0            -125;
   164    7.260               0            -125;
   165    7.305               0            -125;
   166    7.349               0            -125;
   167    7.393               0            -125;
   168    7.438               0            -125;
   169    7.482               0            -125;
   170    7.526               0            -125;
   171    7.570               0            -125;
   172    7.615               0            -125;
   173    7.659               0            -125;
