 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            2500              -1;
     1    0.044            2500             840;
     2    0.089            2500            1683;
     3    0.133            2500            2108;
     4    0.177            2500            2297;
     5    0.221            2500            2398;
     6    0.266            2500            2421;
     7    0.310            2500            2436;
     8    0.354            2500            2439;
     9    0.398            2500            2454;
    10    0.443            2500            2451;
    11    0.487            2500            2458;
    12    0.531            2500            2456;
    13    0.576            2500            2461;
    14    0.620            2500            2460;
    15    0.664            2500            2464;
    16    0.708            2500            2463;
    17    0.753            2500            2462;
    18    0.797            2500            2463;
    19    0.841            2500            2463;
    20    0.885            2500            2463;
    21    0.930            2500            2462;
    22    0.974            2500            2466;
    23    1.018               0            2321;
    24    1.063               0            1311;
    25    1.107               0             613;
    26    1.151               0             284;
    27    1.195               0             139;
    28    1.240               0              75;
    29    1.284               0              43;
    30    1.328               0              24;
    31    1.372               0              29;
    32    1.417               0              14;
    33    1.461               0              23;
    34    1.505               0              15;
    35    1.549               0              21;
    36    1.594               0              12;
    37    1.638               0              20;
    38    1.682               0              14;
    39    1.727               0              18;
    40    1.771               0              16;
    41    1.815               0              18;
    42    1.859               0              17;
    43    1.904               0              15;
    44    1.948               0              18;
    45    1.992               0              14;
    46    2.036               0              18;
    47    2.081               0              15;
    48    2.125               0              20;
    49    2.169               0              14;
    50    2.214               0              19;
    51    2.258               0              16;
    52    2.302               0              18;
    53    2.346               0              15;
    54    2.391               0              18;
    55    2.435               0              16;
    56    2.479               0              17;
    57    2.523               0              16;
    58    2.568               0              16;
    59    2.612               0              16;
    60    2.656               0              16;
    61    2.701               0              17;
    62    2.745               0              15;
    63    2.789               0              18;
    64    2.833               0              16;
    65    2.878               0              17;
    66    2.922               0              15;
    67    2.966               0              16;
    68    3.010               0              15;
    69    3.055               0              16;
    70    3.099               0              15;
    71    3.143               0              16;
    72    3.188               0              15;
    73    3.232               0              15;
    74    3.276               0              16;
    75    3.320               0              16;
    76    3.365               0              16;
    77    3.409               0              16;
    78    3.453               0              16;
    79    3.497               0              15;
    80    3.542               0              16;
    81    3.586               0              16;
    82    3.630               0              16;
    83    3.674               0              15;
    84    3.719               0              16;
    85    3.763               0              16;
    86    3.807               0              16;
    87    3.852               0              16;
    88    3.896               0              16;
    89    3.940               0              16;
    90    3.984               0              16;
    91    4.029               0              16;
    92    4.073               0              16;
    93    4.117               0              16;
    94    4.161               0              16;
    95    4.206               0              16;
    96    4.250               0              16;
    97    4.294               0              16;
    98    4.339               0              16;
    99    4.383               0              16;
   100    4.427               0              16;
   101    4.471               0              16;
   102    4.516               0              16;
   103    4.560               0              16;
   104    4.604               0              16;
   105    4.648               0              16;
   106    4.693               0              16;
   107    4.737               0              16;
   108    4.781               0              16;
   109    4.826               0              16;
   110    4.870               0              16;
   111    4.914               0              16;
   112    4.958               0              16;
   113    5.003               0              16;
   114    5.047               0              16;
   115    5.091               0              16;
   116    5.135               0              16;
   117    5.180               0              16;
   118    5.224               0              16;
   119    5.268               0              16;
   120    5.313               0              16;
   121    5.357               0              16;
   122    5.401               0              16;
   123    5.445               0              16;
   124    5.490               0              16;
   125    5.534               0              16;
   126    5.578               0              16;
   127    5.622               0              16;
   128    5.667               0              16;
   129    5.711               0              15;
   130    5.755               0              15;
   131    5.799               0              16;
   132    5.844               0              16;
   133    5.888               0              16;
   134    5.932               0              15;
   135    5.977               0              16;
   136    6.021               0              16;
   137    6.065               0              16;
   138    6.109               0              16;
   139    6.154               0              16;
   140    6.198               0              15;
   141    6.242               0              15;
   142    6.286               0              15;
   143    6.331               0              15;
   144    6.375               0              15;
   145    6.419               0              15;
   146    6.464               0              15;
   147    6.508               0              15;
   148    6.552               0              15;
   149    6.596               0              15;
   150    6.641               0              15;
   151    6.685               0              15;
   152    6.729               0              15;
   153    6.773               0              15;
   154    6.818               0              15;
   155    6.862               0              16;
   156    6.906               0              16;
   157    6.951               0              16]
