 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            2500               0;
     1    0.044            2500             533;
     2    0.089            2500            1034;
     3    0.133            2500            1399;
     4    0.177            2500            1668;
     5    0.221            2500            1874;
     6    0.266            2500            2021;
     7    0.310            2500            2131;
     8    0.354            2500            2209;
     9    0.398            2500            2275;
    10    0.443            2500            2317;
    11    0.487            2500            2352;
    12    0.531            2500            2374;
    13    0.576            2500            2396;
    14    0.620            2500            2406;
    15    0.664            2500            2417;
    16    0.708            2500            2422;
    17    0.753            2500            2427;
    18    0.797            2500            2430;
    19    0.841            2500            2434;
    20    0.885            2500            2435;
    21    0.930            2500            2436;
    22    0.974            2500            2439;
    23    1.018               0            2272;
    24    1.063               0            1695;
    25    1.107               0            1263;
    26    1.151               0             945;
    27    1.195               0             705;
    28    1.240               0             534;
    29    1.284               0             398;
    30    1.328               0             302;
    31    1.372               0             231;
    32    1.417               0             180;
    33    1.461               0             146;
    34    1.505               0             123;
    35    1.549               0             109;
    36    1.594               0              91;
    37    1.638               0              84;
    38    1.682               0              73;
    39    1.727               0              69;
    40    1.771               0              61;
    41    1.815               0              59;
    42    1.859               0              51;
    43    1.904               0              49;
    44    1.948               0              45;
    45    1.992               0              40;
    46    2.036               0              36;
    47    2.081               0              33;
    48    2.125               0              32;
    49    2.169               0              29;
    50    2.214               0              29;
    51    2.258               0              28;
    52    2.302               0              29;
    53    2.346               0              27;
    54    2.391               0              28;
    55    2.435               0              27;
    56    2.479               0              27;
    57    2.523               0              25;
    58    2.568               0              25;
    59    2.612               0              25;
    60    2.656               0              26;
    61    2.701               0              25;
    62    2.745               0              25;
    63    2.789               0              25;
    64    2.833               0              25;
    65    2.878               0              25;
    66    2.922               0              25;
    67    2.966               0              25;
    68    3.010               0              25;
    69    3.055               0              25;
    70    3.099               0              24;
    71    3.143               0              25;
    72    3.188               0              24;
    73    3.232               0              24;
    74    3.276               0              24;
    75    3.320               0              24;
    76    3.365               0              24;
    77    3.409               0              24;
    78    3.453               0              24;
    79    3.497               0              24;
    80    3.542               0              24;
    81    3.586               0              24;
    82    3.630               0              24;
    83    3.674               0              24;
    84    3.719               0              24;
    85    3.763               0              24;
    86    3.807               0              24;
    87    3.852               0              24;
    88    3.896               0              24;
    89    3.940               0              24;
    90    3.984               0              24;
    91    4.029               0              24;
    92    4.073               0              24;
    93    4.117               0              24;
    94    4.161               0              24;
    95    4.206               0              24;
    96    4.250               0              24;
    97    4.294               0              24;
    98    4.339               0              24;
    99    4.383               0              24;
   100    4.427               0              24;
   101    4.471               0              24;
   102    4.516               0              24;
   103    4.560               0              24;
   104    4.604               0              24;
   105    4.648               0              24;
   106    4.693               0              24;
   107    4.737               0              24;
   108    4.781               0              24;
   109    4.826               0              24;
   110    4.870               0              24;
   111    4.914               0              24;
   112    4.958               0              24;
   113    5.003               0              24;
   114    5.047               0              24;
   115    5.091               0              24;
   116    5.135               0              24;
   117    5.180               0              24;
   118    5.224               0              24;
   119    5.268               0              24;
   120    5.313               0              24;
   121    5.357               0              24;
   122    5.401               0              24;
   123    5.445               0              24;
   124    5.490               0              24;
   125    5.534               0              24;
   126    5.578               0              24;
   127    5.622               0              24;
   128    5.667               0              24;
   129    5.711               0              24;
   130    5.755               0              24;
   131    5.799               0              24;
   132    5.844               0              24;
   133    5.888               0              24;
   134    5.932               0              24;
   135    5.977               0              24;
   136    6.021               0              24;
   137    6.065               0              24;
   138    6.109               0              24;
   139    6.154               0              24;
   140    6.198               0              24;
   141    6.242               0              24;
   142    6.286               0              24;
   143    6.331               0              24;
   144    6.375               0              24;
   145    6.419               0              24;
   146    6.464               0              24;
   147    6.508               0              24;
   148    6.552               0              24;
   149    6.596               0              24;
   150    6.641               0              24;
   151    6.685               0              24;
   152    6.729               0              24;
   153    6.773               0              24;
   154    6.818               0              24;
   155    6.862               0              24;
   156    6.906               0              24;
   157    6.951               0              24]
