 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            2500              -7;
     1    0.044            2500             245;
     2    0.089            2500             873;
     3    0.133            2500            1587;
     4    0.177            2500            2189;
     5    0.221            2500            2583;
     6    0.266            2500            2763;
     7    0.310            2500            2777;
     8    0.354            2500            2715;
     9    0.398            2500            2631;
    10    0.443            2500            2551;
    11    0.487            2500            2490;
    12    0.531            2500            2450;
    13    0.576            2500            2429;
    14    0.620            2500            2425;
    15    0.664            2500            2424;
    16    0.708            2500            2424;
    17    0.753            2500            2424;
    18    0.797            2500            2424;
    19    0.841            2500            2423;
    20    0.885            2500            2423;
    21    0.930            2500            2423;
    22    0.974            2500            2423;
    23    1.018               0            2385;
    24    1.063               0            1919;
    25    1.107               0            1209;
    26    1.151               0             524;
    27    1.195               0              14;
    28    1.240               0            -281;
    29    1.284               0            -369;
    30    1.328               0            -334;
    31    1.372               0            -240;
    32    1.417               0            -162;
    33    1.461               0             -98;
    34    1.505               0             -64;
    35    1.549               0             -50;
    36    1.594               0             -53;
    37    1.638               0             -52;
    38    1.682               0             -55;
    39    1.727               0             -54;
    40    1.771               0             -55;
    41    1.815               0             -54;
    42    1.859               0             -54;
    43    1.904               0             -55;
    44    1.948               0             -54;
    45    1.992               0             -55;
    46    2.036           -2500            -205;
    47    2.081           -2500            -746;
    48    2.125           -2500           -1410;
    49    2.169           -2500           -2016;
    50    2.214           -2500           -2447;
    51    2.258           -2500           -2672;
    52    2.302           -2500           -2717;
    53    2.346           -2500           -2658;
    54    2.391           -2500           -2584;
    55    2.435           -2500           -2531;
    56    2.479           -2500           -2492;
    57    2.523           -2500           -2475;
    58    2.568           -2500           -2479;
    59    2.612           -2500           -2485;
    60    2.656           -2500           -2485;
    61    2.701           -2500           -2485;
    62    2.745           -2500           -2485;
    63    2.789           -2500           -2485;
    64    2.833           -2500           -2485;
    65    2.878           -2500           -2485;
    66    2.922           -2500           -2485;
    67    2.966           -2500           -2485;
    68    3.010               0           -2480;
    69    3.055               0           -2100;
    70    3.099               0           -1400;
    71    3.143               0            -674;
    72    3.188               0             -90;
    73    3.232               0             276;
    74    3.276               0             408;
    75    3.320               0             383;
    76    3.365               0             289;
    77    3.409               0             185;
    78    3.453               0              87;
    79    3.497               0              14;
    80    3.542               0             -25;
    81    3.586               0             -33;
    82    3.630               0             -27;
    83    3.674               0             -26;
    84    3.719               0             -23;
    85    3.763               0             -23;
    86    3.807               0             -20;
    87    3.852               0             -21;
    88    3.896               0             -19;
    89    3.940               0             -19;
    90    3.984               0             -18;
    91    4.029               0             -20;
    92    4.073               0             -18;
    93    4.117               0             -17;
    94    4.161               0             -17;
    95    4.206               0             -19;
    96    4.250               0             -18;
    97    4.294               0             -18;
    98    4.339               0             -18;
    99    4.383               0             -18;
   100    4.427               0             -18;
   101    4.471               0             -18;
   102    4.516               0             -18;
   103    4.560               0             -18;
   104    4.604               0             -18;
   105    4.648               0             -18;
   106    4.693               0             -18;
   107    4.737               0             -18;
   108    4.781               0             -18;
   109    4.826               0             -18;
   110    4.870               0             -18;
   111    4.914               0             -18;
   112    4.958               0             -18;
   113    5.003               0             -18;
   114    5.047               0             -18;
   115    5.091               0             -18;
   116    5.135               0             -18;
   117    5.180               0             -18;
   118    5.224               0             -18;
   119    5.268               0             -18;
   120    5.313               0             -18;
   121    5.357               0             -18;
   122    5.401               0             -18;
   123    5.445               0             -18;
   124    5.490               0             -18;
   125    5.534               0             -18;
   126    5.578               0             -18;
   127    5.622               0             -18;
   128    5.667               0             -18;
   129    5.711               0             -18;
   130    5.755               0             -18;
   131    5.799               0             -18;
   132    5.844               0             -18;
   133    5.888               0             -18;
   134    5.932               0             -18;
   135    5.977               0             -18;
   136    6.021               0             -18;
   137    6.065               0             -18;
   138    6.109               0             -18;
   139    6.154               0             -18;
   140    6.198               0             -18;
   141    6.242               0             -18;
   142    6.286               0             -18;
   143    6.331               0             -18;
   144    6.375               0             -18;
   145    6.419               0             -18;
   146    6.464               0             -18;
   147    6.508               0             -18;
   148    6.552               0             -18;
   149    6.596               0             -18;
   150    6.641               0             -18;
   151    6.685               0             -18;
   152    6.729               0             -18;
   153    6.773               0             -18;
   154    6.818               0             -18;
   155    6.862               0             -18;
   156    6.906               0             -18;
   157    6.951               0             -18;
   158    6.995               0             -18;
   159    7.039               0             -18;
   160    7.083               0             -18;
   161    7.128               0             -18;
   162    7.172               0             -18;
   163    7.216               0             -18;
   164    7.260               0             -18;
   165    7.305               0             -18;
   166    7.349               0             -18;
   167    7.393               0             -18;
   168    7.438               0             -18;
   169    7.482               0             -18;
   170    7.526               0             -18;
   171    7.570               0             -18;
   172    7.615               0             -18;
   173    7.659               0             -18;
   174    7.703               0             -18;
   175    7.747               0             -18;
   176    7.792               0             -18;
   177    7.836               0             -18;
   178    7.880               0             -18;
   179    7.924               0             -18;
   180    7.969               0             -18;
   181    8.013               0             -18;
   182    8.057               0             -18;
   183    8.102               0             -18;
   184    8.146               0             -18;
   185    8.190               0             -18;
   186    8.234               0             -18;
   187    8.279               0             -18;
   188    8.323               0             -18;
   189    8.367               0             -18;
   190    8.411               0             -18;
   191    8.456               0             -18;
   192    8.500               0             -18;
   193    8.544               0             -18;
   194    8.589               0             -18;
   195    8.633               0             -18;
   196    8.677               0             -18;
   197    8.721               0             -18;
   198    8.766               0             -18;
   199    8.810               0             -18;
   200    8.854               0             -18;
   201    8.898               0             -18;
   202    8.943               0             -18]
