 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            2500               0;
     1    0.044            2500             912;
     2    0.089            2500            1955;
     3    0.133            2500            2569;
     4    0.177            2500            2862;
     5    0.221            2500            2987;
     6    0.266            2500            2990;
     7    0.310            2500            2957;
     8    0.354            2500            2894;
     9    0.398            2500            2819;
    10    0.443            2500            2747;
    11    0.487            2500            2689;
    12    0.531            2500            2640;
    13    0.576            2500            2586;
    14    0.620            2500            2567;
    15    0.664            2500            2561;
    16    0.708            2500            2560;
    17    0.753            2500            2544;
    18    0.797            2500            2539;
    19    0.841            2500            2525;
    20    0.885            2500            2511;
    21    0.930            2500            2493;
    22    0.974            2500            2483;
    23    1.018            2500            2474;
    24    1.063            2500            2474;
    25    1.107            2500            2474;
    26    1.151            2500            2476;
    27    1.195            2500            2477;
    28    1.240            2500            2479;
    29    1.284            2500            2481;
    30    1.328            2500            2482;
    31    1.372            2500            2484;
    32    1.417            2500            2488;
    33    1.461            2500            2489;
    34    1.505            2500            2493;
    35    1.549            2500            2493;
    36    1.594            2500            2497;
    37    1.638            2500            2496;
    38    1.682            2500            2501;
    39    1.727            2500            2500;
    40    1.771            2500            2502;
    41    1.815            2500            2501;
    42    1.859            2500            2503;
    43    1.904            2500            2502;
    44    1.948            2500            2503;
    45    1.992            2500            2502;
    46    2.036               0            1812;
    47    2.081               0             720;
    48    2.125               0              34;
    49    2.169               0            -308;
    50    2.214               0            -463;
    51    2.258               0            -470;
    52    2.302               0            -441;
    53    2.346               0            -383;
    54    2.391               0            -326;
    55    2.435               0            -260;
    56    2.479               0            -207;
    57    2.523               0            -160;
    58    2.568               0            -112;
    59    2.612               0             -84;
    60    2.656               0             -55;
    61    2.701               0             -38;
    62    2.745               0             -24;
    63    2.789               0             -21;
    64    2.833               0             -13;
    65    2.878               0             -11;
    66    2.922               0              -7;
    67    2.966               0              -4;
    68    3.010               0               0;
    69    3.055               0               1;
    70    3.099               0               1;
    71    3.143               0               4;
    72    3.188               0               3;
    73    3.232               0               3;
    74    3.276               0               3;
    75    3.320               0               3;
    76    3.365               0               3;
    77    3.409               0               2;
    78    3.453               0               5;
    79    3.497               0               1;
    80    3.542               0               3;
    81    3.586               0               1;
    82    3.630               0               3;
    83    3.674               0              -1;
    84    3.719               0               2;
    85    3.763               0              -0;
    86    3.807               0               1;
    87    3.852               0               0;
    88    3.896               0               1;
    89    3.940               0               1;
    90    3.984               0               0;
    91    4.029               0               1;
    92    4.073               0               0;
    93    4.117               0               0;
    94    4.161               0               0;
    95    4.206               0               1;
    96    4.250               0               0;
    97    4.294               0               0;
    98    4.339               0               0;
    99    4.383               0               0;
   100    4.427               0               1;
   101    4.471               0               0;
   102    4.516               0               0;
   103    4.560               0               0;
   104    4.604               0               0;
   105    4.648               0               0;
   106    4.693               0               0;
   107    4.737               0               0;
   108    4.781               0               0;
   109    4.826               0               0;
   110    4.870               0               0;
   111    4.914               0               0;
   112    4.958               0               0;
   113    5.003               0               0;
   114    5.047               0               0;
   115    5.091               0               0;
   116    5.135               0              -1;
   117    5.180               0               0;
   118    5.224               0              -1;
   119    5.268               0               0;
   120    5.313               0               0;
   121    5.357               0               0;
   122    5.401               0               0;
   123    5.445               0               0;
   124    5.490               0               0;
   125    5.534               0               0;
   126    5.578               0               0;
   127    5.622               0               0;
   128    5.667               0               0;
   129    5.711               0               0;
   130    5.755               0               0;
   131    5.799               0               0;
   132    5.844               0               0;
   133    5.888               0               0;
   134    5.932               0               0;
   135    5.977               0               0;
   136    6.021               0               0;
   137    6.065               0               0;
   138    6.109               0               0;
   139    6.154               0               0;
   140    6.198               0               0;
   141    6.242               0               0;
   142    6.286               0               0;
   143    6.331               0               0;
   144    6.375               0               0;
   145    6.419               0               0;
   146    6.464               0               0;
   147    6.508               0               0;
   148    6.552               0               0;
   149    6.596               0               0;
   150    6.641               0               0;
   151    6.685               0               0;
   152    6.729               0               0;
   153    6.773               0               0;
   154    6.818               0               0;
   155    6.862               0               0;
   156    6.906               0               0;
   157    6.951               0               0;
   158    6.995               0               0;
   159    7.039               0               0;
   160    7.083               0               0;
   161    7.128               0               0;
   162    7.172               0               0;
   163    7.216               0               0;
   164    7.260               0               0;
   165    7.305               0               0;
   166    7.349               0               0;
   167    7.393               0               0;
   168    7.438               0               0;
   169    7.482               0               0;
   170    7.526               0               0;
   171    7.570               0               0;
   172    7.615               0               0;
   173    7.659               0               0;
   174    7.703               0               0;
   175    7.747               0               0;
   176    7.792               0               0;
   177    7.836               0               0;
   178    7.880               0               0;
   179    7.924               0               0;
   180    7.969               0               0;
   181    8.013               0               0;
   182    8.057               0               0;
   183    8.102               0               0;
   184    8.146               0               0;
   185    8.190               0               0;
   186    8.234               0               0;
   187    8.279               0               0;
   188    8.323               0               0;
   189    8.367               0               0;
   190    8.411               0               0;
   191    8.456               0               0;
   192    8.500               0               0;
   193    8.544               0               0;
   194    8.589               0               0;
   195    8.633               0               0;
   196    8.677               0               0;
   197    8.721               0               0;
   198    8.766               0               0;
   199    8.810               0               0;
   200    8.854               0               0;
   201    8.898               0               0;
   202    8.943               0               0]
