 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000               0             -17          0.0195;
     1    0.018              31             -17          0.0513;
     2    0.035              66             -14          0.0549;
     3    0.053             102              -6          0.0800;
     4    0.071             137               7          0.0739;
     5    0.089             173              25          0.0757;
     6    0.106             208              47          0.0775;
     7    0.124             243              72          0.0653;
     8    0.142             279             103          0.0372;
     9    0.159             314             133          0.0476;
    10    0.177             350             161          0.0745;
    11    0.195             385             189          0.0824;
    12    0.213             420             221          0.0726;
    13    0.230             456             256          0.0464;
    14    0.248             491             292          0.0427;
    15    0.266             527             328          0.0354;
    16    0.283             562             365          0.0604;
    17    0.301             598             401          0.0256;
    18    0.319             633             437          0.0385;
    19    0.336             668             471          0.0488;
    20    0.354             704             504          0.0653;
    21    0.372             739             539          0.0665;
    22    0.390             775             576          0.0427;
    23    0.407             810             612          0.0409;
    24    0.425             845             647          0.0427;
    25    0.443             881             682          0.0543;
    26    0.460             916             721          0.0299;
    27    0.478             952             755          0.0440;
    28    0.496             987             789          0.0501;
    29    0.514            1023             823          0.0470;
    30    0.531            1058             857          0.0604;
    31    0.549            1093             894          0.0592;
    32    0.567            1129             931          0.0317;
    33    0.584            1164             967          0.0366;
    34    0.602            1200            1002          0.0586;
    35    0.620            1235            1037          0.0659;
    36    0.638            1270            1072          0.0568;
    37    0.655            1306            1105          0.0513;
    38    0.673            1341            1140          0.0446;
    39    0.691            1377            1177          0.0360;
    40    0.708            1412            1213          0.0635;
    41    0.726            1448            1248          0.0568;
    42    0.744            1483            1282          0.0507;
    43    0.761            1518            1316          0.0458;
    44    0.779            1554            1351          0.0440;
    45    0.797            1589            1387          0.0629;
    46    0.815            1625            1425          0.0397;
    47    0.832            1660            1460          0.0458;
    48    0.850            1695            1495          0.0452;
    49    0.868            1731            1529          0.0611;
    50    0.885            1766            1563          0.0690;
    51    0.903            1802            1600          0.0598;
    52    0.921            1837            1636          0.0354;
    53    0.939            1873            1672          0.0543;
    54    0.956            1908            1705          0.0635;
    55    0.974            1943            1739          0.0702;
    56    0.992            1979            1776          0.0611;
    57    1.009            2000            1813          0.0226;
    58    1.027            2000            1848          0.0018;
    59    1.045            2000            1876          0.0000;
    60    1.063            2000            1896          0.0299;
    61    1.080            2000            1911          0.0403;
    62    1.098            2000            1922          0.0488;
    63    1.116            1978            1928          0.0342;
    64    1.133            1943            1930          0.0128;
    65    1.151            1907            1926          0.0055;
    66    1.169            1872            1916          0.0079;
    67    1.186            1836            1903         -0.0079;
    68    1.204            1801            1886         -0.0116;
    69    1.222            1766            1865          0.0116;
    70    1.240            1730            1842         -0.0159;
    71    1.257            1695            1817         -0.0079;
    72    1.275            1659            1795         -0.0495;
    73    1.293            1624            1771         -0.0525;
    74    1.310            1588            1745         -0.0556;
    75    1.328            1553            1716         -0.0299;
    76    1.346            1518            1684         -0.0159;
    77    1.364            1482            1649          0.0000;
    78    1.381            1447            1611         -0.0232;
    79    1.399            1411            1577         -0.0116;
    80    1.417            1376            1542         -0.0055;
    81    1.434            1341            1506          0.0012;
    82    1.452            1305            1469         -0.0140;
    83    1.470            1270            1431          0.0147;
    84    1.488            1234            1395          0.0043;
    85    1.505            1199            1361         -0.0183;
    86    1.523            1163            1327         -0.0269;
    87    1.541            1128            1292         -0.0275;
    88    1.558            1093            1259         -0.0299;
    89    1.576            1057            1225         -0.0281;
    90    1.594            1022            1191         -0.0122;
    91    1.611             986            1156         -0.0110;
    92    1.629             951            1123         -0.0244;
    93    1.647             916            1091         -0.0305;
    94    1.665             880            1058         -0.0330;
    95    1.682             845            1024         -0.0409;
    96    1.700             809             989         -0.0421;
    97    1.718             774             953         -0.0256;
    98    1.735             738             918         -0.0238;
    99    1.753             703             885         -0.0385;
   100    1.771             668             853         -0.0397;
   101    1.789             632             819         -0.0348;
   102    1.806             597             785         -0.0385;
   103    1.824             561             749         -0.0427;
   104    1.842             526             711         -0.0098;
   105    1.859             491             674         -0.0250;
   106    1.877             455             641         -0.0495;
   107    1.895             420             608         -0.0482;
   108    1.913             384             573         -0.0476;
