 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000               0              -6          0.0067;
     1    0.018              31              -1          0.1813;
     2    0.035              66              23          0.0824;
     3    0.053             102              56          0.0537;
     4    0.071             137              91          0.0391;
     5    0.089             173             130          0.0507;
     6    0.106             208             166          0.0348;
     7    0.124             243             200          0.0525;
     8    0.142             279             234          0.0525;
     9    0.159             314             268          0.0513;
    10    0.177             350             304          0.0611;
    11    0.195             385             341          0.0433;
    12    0.213             420             378          0.0391;
    13    0.230             456             415          0.0476;
    14    0.248             491             450          0.0586;
    15    0.266             527             486          0.0275;
    16    0.283             562             523          0.0348;
    17    0.301             598             557          0.0611;
    18    0.319             633             591          0.0647;
    19    0.336             668             627          0.0525;
    20    0.354             704             663          0.0391;
    21    0.372             739             697          0.0470;
    22    0.390             775             735          0.0336;
    23    0.407             810             771          0.0476;
    24    0.425             845             804          0.0629;
    25    0.443             881             836          0.0598;
    26    0.460             916             871          0.0452;
    27    0.478             952             907          0.0409;
    28    0.496             987             945          0.0568;
    29    0.514            1023             982          0.0269;
    30    0.531            1058            1017          0.0415;
    31    0.549            1093            1051          0.0543;
    32    0.567            1129            1085          0.0604;
    33    0.584            1164            1121          0.0623;
    34    0.602            1200            1156          0.0574;
    35    0.620            1235            1191          0.0427;
    36    0.638            1270            1227          0.0397;
    37    0.655            1306            1263          0.0611;
    38    0.673            1341            1297          0.0690;
    39    0.691            1377            1332          0.0617;
    40    0.708            1412            1367          0.0440;
    41    0.726            1448            1402          0.0470;
    42    0.744            1483            1437          0.0488;
    43    0.761            1518            1474          0.0574;
    44    0.779            1554            1509          0.0470;
    45    0.797            1589            1544          0.0495;
    46    0.815            1625            1579          0.0464;
    47    0.832            1660            1613          0.0623;
    48    0.850            1695            1648          0.0733;
    49    0.868            1731            1683          0.0665;
    50    0.885            1766            1721          0.0336;
    51    0.903            1802            1756          0.0537;
    52    0.921            1837            1790          0.0672;
    53    0.939            1873            1827          0.0611;
    54    0.956            1908            1863          0.0385;
    55    0.974            1943            1898          0.0495;
    56    0.992            1979            1932          0.0495;
    57    1.009            2000            1968         -0.0916;
    58    1.027            2000            1990         -0.0824;
    59    1.045            2000            2000         -0.0519;
    60    1.063            2000            2003         -0.0073;
    61    1.080            2000            2002         -0.0043;
    62    1.098            2000            2001          0.0153;
    63    1.116            1978            1998         -0.1923;
    64    1.133            1943            1977         -0.0958;
    65    1.151            1907            1944         -0.0592;
    66    1.169            1872            1907         -0.0171;
    67    1.186            1836            1865         -0.0159;
    68    1.204            1801            1822          0.0214;
    69    1.222            1766            1782          0.0031;
    70    1.240            1730            1743          0.0079;
    71    1.257            1695            1703          0.0000;
    72    1.275            1659            1667          0.0006;
    73    1.293            1624            1632         -0.0031;
    74    1.310            1588            1594         -0.0128;
    75    1.328            1553            1557          0.0171;
    76    1.346            1518            1521          0.0061;
    77    1.364            1482            1484         -0.0061;
    78    1.381            1447            1448         -0.0061;
    79    1.399            1411            1414         -0.0037;
    80    1.417            1376            1381         -0.0079;
    81    1.434            1341            1348         -0.0104;
    82    1.452            1305            1315         -0.0183;
    83    1.470            1270            1282         -0.0165;
    84    1.488            1234            1248         -0.0116;
    85    1.505            1199            1212         -0.0287;
    86    1.523            1163            1178         -0.0372;
    87    1.541            1128            1145         -0.0397;
    88    1.558            1093            1112         -0.0324;
    89    1.576            1057            1078         -0.0293;
    90    1.594            1022            1045         -0.0263;
    91    1.611             986            1010         -0.0226;
    92    1.629             951             973         -0.0189;
    93    1.647             916             938         -0.0440;
    94    1.665             880             905         -0.0476;
    95    1.682             845             872         -0.0458;
    96    1.700             809             839         -0.0470;
    97    1.718             774             804         -0.0342;
    98    1.735             738             769         -0.0238;
    99    1.753             703             730         -0.0305;
   100    1.771             668             694         -0.0226;
   101    1.789             632             660         -0.0348;
   102    1.806             597             626         -0.0305;
   103    1.824             561             592         -0.0427;
