 Sample   Time     Commanded Pos   Encoder 1 Pos   Control Effort

[    0    0.000               0              -0          0.0055;
     1    0.018              31               4          0.1795;
     2    0.035              66              29          0.0800;
     3    0.053             102              63          0.0513;
     4    0.071             137             100          0.0427;
     5    0.089             173             138          0.0665;
     6    0.106             208             175          0.0385;
     7    0.124             243             210          0.0586;
     8    0.142             279             247          0.0549;
     9    0.159             314             285          0.0568;
    10    0.177             350             323          0.0446;
    11    0.195             385             363          0.0574;
    12    0.213             420             402          0.0360;
    13    0.230             456             440          0.0507;
    14    0.248             491             477          0.0433;
    15    0.266             527             514          0.0458;
    16    0.283             562             551          0.0525;
    17    0.301             598             587          0.0611;
    18    0.319             633             624          0.0317;
    19    0.336             668             661          0.0397;
    20    0.354             704             698          0.0623;
    21    0.372             739             734          0.0354;
    22    0.390             775             770          0.0403;
    23    0.407             810             805          0.0507;
    24    0.425             845             839          0.0702;
    25    0.443             881             875          0.0623;
    26    0.460             916             912          0.0342;
    27    0.478             952             949          0.0330;
    28    0.496             987             985          0.0653;
    29    0.514            1023            1020          0.0623;
    30    0.531            1058            1056          0.0415;
    31    0.549            1093            1091          0.0415;
    32    0.567            1129            1127          0.0543;
    33    0.584            1164            1163          0.0629;
    34    0.602            1200            1199          0.0391;
    35    0.620            1235            1234          0.0403;
    36    0.638            1270            1269          0.0488;
    37    0.655            1306            1305          0.0653;
    38    0.673            1341            1340          0.0592;
    39    0.691            1377            1375          0.0537;
    40    0.708            1412            1409          0.0501;
    41    0.726            1448            1446          0.0287;
    42    0.744            1483            1482          0.0617;
    43    0.761            1518            1517          0.0592;
    44    0.779            1554            1551          0.0537;
    45    0.797            1589            1585          0.0488;
    46    0.815            1625            1621          0.0458;
    47    0.832            1660            1657          0.0659;
    48    0.850            1695            1694          0.0348;
    49    0.868            1731            1730          0.0440;
    50    0.885            1766            1767          0.0433;
    51    0.903            1802            1803          0.0568;
    52    0.921            1837            1839          0.0409;
    53    0.939            1873            1872          0.0519;
    54    0.956            1908            1905          0.0537;
    55    0.974            1943            1940          0.0458;
    56    0.992            1979            1977          0.0556;
    57    1.009            2000            2012         -0.0904;
    58    1.027            2000            2030         -0.0464;
    59    1.045            2000            2034         -0.0043;
    60    1.063            2000            2033          0.0049;
    61    1.080            2000            2029          0.0275;
    62    1.098            2000            2025          0.0305;
    63    1.116            1978            2019         -0.1569;
    64    1.133            1943            1995         -0.0580;
    65    1.151            1907            1960         -0.0287;
    66    1.169            1872            1923         -0.0495;
    67    1.186            1836            1883          0.0018;
    68    1.204            1801            1839         -0.0006;
    69    1.222            1766            1796          0.0122;
    70    1.240            1730            1756          0.0104;
    71    1.257            1695            1717         -0.0006;
    72    1.275            1659            1678          0.0067;
