 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000            2000              -3              -1;
     1    0.022            2000             223               8;
     2    0.044            2000             628              15;
     3    0.066            2000             985              57;
     4    0.089            2000            1246             167;
     5    0.111            2000            1417             350;
     6    0.133            2000            1521             594;
     7    0.155            2000            1600             898;
     8    0.177            2000            1663            1234;
     9    0.199            2000            1727            1601;
    10    0.221            2000            1786            1968;
    11    0.243            2000            1839            2301;
    12    0.266            2000            1908            2595;
    13    0.288            2000            1972            2832;
    14    0.310            2000            2022            2990;
    15    0.332            2000            2067            3068;
    16    0.354            2000            2103            3065;
    17    0.376            2000            2123            2986;
    18    0.398            2000            2136            2854;
    19    0.421            2000            2133            2668;
    20    0.443            2000            2124            2445;
    21    0.465            2000            2109            2205;
    22    0.487            2000            2081            1958;
    23    0.509            2000            2047            1720;
    24    0.531            2000            2015            1514;
    25    0.553            2000            1974            1343;
    26    0.576            2000            1940            1216;
    27    0.598            2000            1915            1148;
    28    0.620            2000            1893            1137;
    29    0.642            2000            1876            1177;
    30    0.664            2000            1867            1260;
    31    0.686            2000            1865            1377;
    32    0.708            2000            1874            1527;
    33    0.730            2000            1882            1691;
    34    0.753            2000            1891            1855;
    35    0.775            2000            1911            2016;
    36    0.797            2000            1937            2166;
    37    0.819            2000            1964            2287;
    38    0.841            2000            1989            2374;
    39    0.863            2000            2009            2424;
    40    0.885            2000            2026            2438;
    41    0.908            2000            2039            2418;
    42    0.930            2000            2044            2367;
    43    0.952            2000            2044            2291;
    44    0.974            2000            2047            2204;
    45    0.996            2000            2041            2106;
    46    1.018            2000            2029            2001;
    47    1.040            2000            2013            1901;
    48    1.063            2000            1997            1812;
    49    1.085            2000            1981            1740;
    50    1.107            2000            1967            1691;
    51    1.129            2000            1955            1659;
    52    1.151            2000            1949            1648;
    53    1.173            2000            1945            1657;
    54    1.195            2000            1941            1674;
    55    1.217            2000            1940            1699;
    56    1.240            2000            1941            1736;
    57    1.262            2000            1941            1779;
    58    1.284            2000            1944            1832;
    59    1.306            2000            1948            1883;
    60    1.328            2000            1951            1930;
    61    1.350            2000            1956            1972;
